group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
ЭРБ-20,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ЭРС-18-1,BP-002,Аэрология горных предприятий,2021-2022,,
ЭРС-18-1,BP-007,Безопасность жизнедеятельности,2021-2022,,
ЭРС-18-2,BP-002,Аэрология горных предприятий,2021-2022,,
ЭРС-18-2,BP-007,Безопасность жизнедеятельности,2021-2022,,
ЭРС-19,BP-002,Аэрология горных предприятий,2022-2023 весна,,
ЭРС-19,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ЭРС-20,BP-002,Аэрология горных предприятий,2023-2024 уч.год,,
ЭРС-21-1,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ЭРС-21-2,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ЭС-20,BP-007,Безопасность жизнедеятельности,2021-2022,,
ЭС-21-1,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ЭС-21-2,BP-007,Безопасность жизнедеятельности,2022-2023 весна,,
ЭС-22-1,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ЭС-22-2,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ЭХТ-19-1,BP-007,Безопасность жизнедеятельности,2021-2022,,
ЭХТ-19-2,BP-007,Безопасность жизнедеятельности,2021-2022,,
ЭХТ-21-1,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
ЭХТ-21-2,BP-007,Безопасность жизнедеятельности,2023-2024 уч.год,,
специализации,BP-017,Наименование учебной дисциплины,2021-2022,,
специальности,BP-017,Наименование учебной дисциплины,2021-2022,,
