group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
БТБ-23,MET-030,Основы металлургического производства,2025-2026 уч.год,,
ИЗБ-19,MET-029,Основы металлургии,2021-2022 уч.год,,
ИЗБ-20-1,MET-029,Основы металлургии,2022-2023 уч.год,,
ИЗБ-20-2,MET-029,Основы металлургии,2022-2023 уч.год,,
ИЗБ-21-1,MET-029,Основы металлургии,2023-2024 уч.год,,
ИЗБ-21-2,MET-029,Основы металлургии,2023-2024 уч.год,,
ИЗБ-22-1,MET-029,Основы металлургии,2024-2025 уч.год,,
ИЗБ-22-2,MET-029,Основы металлургии,2024-2025 уч.год,,
ИЗС-21-1,MET-057,Экологические основы металлургического производства,2025-2026 уч.год,,
ИЗС-21-2,MET-057,Экологические основы металлургического производства,2025-2026 уч.год,,
ИН-23-26,MET-030,Основы металлургического производства,2025-2026 уч.год,,
ИТО-21,MET-053,Технологии и процессы в металлургии,2023-2024 уч.год,,
ИТО-22,MET-053,Технологии и процессы в металлургии,2024-2025 уч.год,,
МЦ-18,MET-011,Металлургическая гидроаппаратура,2021-2022 уч.год,,
МЦ-18,MET-015,Металлургия благородных металлов,2021-2022 уч.год,,
МЦ-18,MET-017,Металлургия лёгких металлов,2021-2022 уч.год,,
МЦ-18,MET-019,Металлургия редких металлов [выбранные дисциплины] 24 чел.,2021-2022 уч.год,,
МЦ-18,MET-022,Металлургия тяжёлых цветных металлов,2021-2022 уч.год,,
МЦ-18,MET-026,Методы контроля и анализа веществ,2021-2022 уч.год,,
МЦ-18,MET-027,Моделирование процессов и объектов в металлургии,2021-2022 уч.год,,
МЦ-18,MET-035,Переработка шлаков и медных шламов [выбранные дисциплины] 24 чел.,2021-2022 уч.год,,
МЦ-18,MET-055,Утилизация и использование отходов переработки минерального сырья,2021-2022 уч.год,,
МЦ-19,MET-001,Гидрометаллургические процессы и аппараты,2022-2023 уч.год,,
МЦ-19,MET-007,Коррозия и защита металлов [выбранные дисциплины] 28 чел.,2022-2023 весна,,
МЦ-19,MET-012,Металлургическая теплотехника и основы печных технологий,2021-2022 уч.год,,
МЦ-19,MET-014,Металлургические технологии производства и обработки металлов,2021-2022 уч.год,,
МЦ-19,MET-015,Металлургия благородных металлов,2022-2023 весна|2022-2023 уч.год,,
МЦ-19,MET-017,Металлургия лёгких металлов,2021-2022 уч.год,,
МЦ-19,MET-018,Металлургия редких металлов,2022-2023 весна,,
МЦ-19,MET-022,Металлургия тяжёлых цветных металлов,2022-2023 уч.год,,
МЦ-19,MET-026,Методы контроля и анализа веществ,2022-2023 уч.год,,
МЦ-19,MET-037,Переработка шлаков и медных шламов [выбранные дисциплины] 28 чел.,2022-2023 уч.год,,
МЦ-19,MET-048,Теория гидрометаллургических процессов,2021-2022 уч.год,,
МЦ-19,MET-050,Теория пирометаллургических процессов,2021-2022 уч.год,,
МЦ-19,MET-051,Теория электрометаллургических процессов,2021-2022 уч.год,,
МЦ-19,MET-055,Утилизация и использование отходов переработки минерального сырья,2022-2023 уч.год,,
МЦ-20,MET-001,Гидрометаллургические процессы и аппараты,2023-2024 уч.год,,
МЦ-20,MET-006,Коррозия и защита металлов [выбранные дисциплины] 26 чел.,2023-2024 уч.год,,
МЦ-20,MET-012,Металлургическая теплотехника и основы печных технологий,2022-2023 уч.год,,
МЦ-20,MET-014,Металлургические технологии производства и обработки металлов,2022-2023 уч.год,,
МЦ-20,MET-015,Металлургия благородных металлов,2023-2024 уч.год,,
МЦ-20,MET-017,Металлургия лёгких металлов,2022-2023 весна,,
МЦ-20,MET-018,Металлургия редких металлов,2023-2024 уч.год,,
МЦ-20,MET-022,Металлургия тяжёлых цветных металлов,2022-2023 уч.год,,
МЦ-20,MET-026,Методы контроля и анализа веществ,2023-2024 уч.год,,
МЦ-20,MET-036,Переработка шлаков и медных шламов [выбранные дисциплины] 26 чел.,2023-2024 уч.год,,
МЦ-20,MET-048,Теория гидрометаллургических процессов,2022-2023 весна,,
МЦ-20,MET-050,Теория пирометаллургических процессов,2022-2023 уч.год,,
МЦ-20,MET-051,Теория электрометаллургических процессов,2022-2023 весна,,
МЦ-20,MET-055,Утилизация и использование отходов переработки минерального сырья,2023-2024 уч.год,,
