faculty_code,group_name,student_count_suggested,course_suggested,source_sheets,check_ok,review_comment
ФПМС,ОП-19,24,3,2021-2022 уч.год,,
ФПМС,ОП-20,26,3,2022-2023 уч.год,,
ФПМС,ОП-21,21,4,2024-2025 уч.год,,
ФПМС,ОП-22,19,3,2024-2025 уч.год,,
ФПМС,ОП-23,25,1,2023-2024 уч.год,,
ФПМС,ОТ-24-1,228,2,2025-2026 уч.год,,
ФПМС,ОТ-24-11,285,2,2025-2026 уч.год,,
ФПМС,ОТ-24-12,274,2,2025-2026 уч.год,,
ФПМС,ОТ-24-13,274,2,2025-2026 уч.год,,
ФПМС,ОТ-24-14,274,2,2025-2026 уч.год,,
ФПМС,ОТ-24-15,274,2,2025-2026 уч.год,,
ФПМС,ОТ-24-16,274,2,2025-2026 уч.год,,
ФПМС,ОТ-24-17,274,2,2025-2026 уч.год,,
ФПМС,ОТ-24-18,274,2,2025-2026 уч.год,,
ФПМС,ОТ-24-2,228,2,2025-2026 уч.год,,
ФПМС,ОТ-24-20,274,2,2025-2026 уч.год,,
ФПМС,ОТ-24-21,274,2,2025-2026 уч.год,,
ФПМС,ОТ-24-22,274,2,2025-2026 уч.год,,
ФПМС,ОТ-24-23,274,2,2025-2026 уч.год,,
ФПМС,ОТ-24-3,285,2,2025-2026 уч.год,,
ФПМС,ОТ-24-30,285,2,2025-2026 уч.год,,
ФПМС,ОТ-24-31,285,2,2025-2026 уч.год,,
ФПМС,ОТ-24-32,285,2,2025-2026 уч.год,,
ФПМС,ОТ-24-4,228,2,2025-2026 уч.год,,
ФПМС,ОТ-24-40,285,2,2025-2026 уч.год,,
ФПМС,ОТ-24-493,274,2,2025-2026 уч.год,,
ФПМС,ОТ-24-5,285,2,2025-2026 уч.год,,
ФПМС,ОТ-24-6,285,2,2025-2026 уч.год,,
ФПМС,ОТ-24-7,285,2,2025-2026 уч.год,,
ФПМС,ОТ-24-8,285,2,2025-2026 уч.год,,
ФПМС,ОТ-24-9,285,2,2025-2026 уч.год,,
ФПМС,ПГС-23,30,1,2023-2024 уч.год,,
ФПМС,ПМК-23,25,1,2023-2024 уч.год,,
ФПМС,ПТЭ-23,25,1,2023-2024 уч.год,,
ФПМС,ПЭ-23,30,1,2023-2024 уч.год,,
ФПМС,РГГ-20,17,2,2021-2022 уч.год,,
ФПМС,РГГ-21,16,2,2022-2023 весна|2022-2023 уч.год,,
ФПМС,РГГ-22,17,2,2023-2024 уч.год,,
ФПМС,РГГ-23,20,1,2023-2024 уч.год,,
ФПМС,РГИ-20,17,2,2021-2022 уч.год,,
ФПМС,РГИ-21,16,2,2022-2023 весна|2022-2023 уч.год,,
ФПМС,РГИ-22,17,2,2023-2024 уч.год,,
ФПМС,РГИ-23,20,1,2023-2024 уч.год,,
ФПМС,РМ-20,26,2,2021-2022 уч.год,,
ФПМС,РМ-21,26,2,2022-2023 весна,,
ФПМС,РМ-22,25,2,2023-2024 уч.год,,
ФПМС,РМ-23,25,1,2023-2024 уч.год,,
ФПМС,РТ-23,25,1,2023-2024 уч.год,,
ФПМС,РФ-23,25,1,2023-2024 уч.год,,
ФПМС,САМ-23,30,1,2023-2024 уч.год,,
ФПМС,СПС-23,20,1,2023-2024 уч.год,,
ФПМС,СТ-21,27,2,2022-2023 весна,,
ФПМС,СТ-22,25,2,2023-2024 уч.год,,
ФПМС,СЭ-24-1,228,2,2025-2026 уч.год,,
ФПМС,СЭ-24-2,228,2,2025-2026 уч.год,,
ФПМС,ТНГ-20,28,2,2021-2022 уч.год,,
ФПМС,ТНГ-21,23,2,2022-2023 весна|2022-2023 уч.год,,
ФПМС,ТНГ-22,26,2,2023-2024 уч.год,,
ФПМС,ТНГ-23-1,25,1,2023-2024 уч.год,,
ФПМС,ТНГ-23-2,25,1,2023-2024 уч.год,,
ФПМС,ТНГ-23-3,25,1,2023-2024 уч.год,,
ФПМС,ТНГ-23-4,25,1,2023-2024 уч.год,,
ФПМС,ТО-23,25,1,2023-2024 уч.год,,
ФПМС,ТОА-23,25,1,2023-2024 уч.год,,
ФПМС,ТОП-23,20,1,2023-2024 уч.год,,
ФПМС,ТПП-23,25,1,2023-2024 уч.год,,
ФПМС,ТПР-23,25,1,2023-2024 уч.год,,
ФПМС,ТХ-19-1,18,3,2021-2022 уч.год,,
ФПМС,ТХ-19-2,18,3,2021-2022 уч.год,,
ФПМС,ТХ-20,30,3,2022-2023 уч.год,,
ФПМС,ТХ-20-1,21,2,2021-2022 уч.год,,
ФПМС,ТХ-20-2,21,2,2021-2022 уч.год,,
ФПМС,ТХ-21-1,25,2,2022-2023 уч.год,,
ФПМС,ТХ-21-2,25,2,2022-2023 уч.год,,
ФПМС,ТХ-22-1,25,2,2023-2024 уч.год,,
ФПМС,ТХ-22-2,25,2,2023-2024 уч.год,,
ФПМС,ТХ-23,35,1,2023-2024 уч.год,,
ФПМС,ТХ-23-1,20,3,2025-2026 уч.год,,
ФПМС,ТХН-19,17,3,2021-2022 уч.год,,
ФПМС,ТХН-20,19,2,2021-2022 уч.год,,
ФПМС,ТХН-21,27,3,2023-2024 уч.год,,
ФПМС,ТХН-21-1,24,2,2022-2023 уч.год,,
ФПМС,ТХН-21-2,24,2,2022-2023 уч.год,,
ФПМС,ТХН-22,25,2,2023-2024 уч.год,,
ФПМС,ТХН-23,35,1,2023-2024 уч.год,,
ФПМС,ТХО-23,25,1,2023-2024 уч.год,,
ФПМС,ТЭ-23,30,1,2023-2024 уч.год,,
ФПМС,ЭРБ-23,35,1,2023-2024 уч.год,,
ФПМС,ЭРС-23,35,1,2023-2024 уч.год,,
ФПМС,ЭС-23,35,1,2023-2024 уч.год,,
ФПМС,ЭХТ-21-1,28,2,2022-2023 весна,,
ФПМС,ЭХТ-21-2,28,2,2022-2023 весна,,
ФПМС,ЭХТ-22-1,22,2,2023-2024 уч.год,,
ФПМС,ЭХТ-22-2,22,2,2023-2024 уч.год,,
ФПМС,ЭХТ-23,20,1,2023-2024 уч.год (новая),,
ФПМС,все специальности,274,2,2025-2026 уч.год,,
