group_name,discipline_code_suggested,discipline_title,source_sheets,check_ok,review_comment
ТХ-22-2,HTP-003,Инструментальные методы химического анализа в химической технологии природных энергоносителей,2024-2025 уч.год,,
ТХ-22-2,HTP-007,Коррозия и защита оборудования в химической технологии природных энергоносителей и углеродных материалов,2023-2024 уч.год,,
ТХ-22-2,HTP-011,Материалы для оборудования нефтегазоперерабатывающих производств,2023-2024 уч.год,,
ТХ-22-2,HTP-022,Моделирование химико-технологических процессов переработки природных энергоносителей [выбранные дисциплины] 15 чел.,2025-2026 уч.год,,
ТХ-22-2,HTP-027,Общая химическая технология,2024-2025 уч.год,,
ТХ-22-2,HTP-036,Основы химической технологии смазочных масел и присадок,2025-2026 уч.год,,
ТХ-22-2,HTP-044,Проектирование процессов и аппаратов нефтеперерабатывающих предприятий,2025-2026 уч.год,,
ТХ-22-2,HTP-052,Процессы и аппараты химической технологии,2024-2025 уч.год,,
ТХ-22-2,HTP-061,Системы управления химико-технологическими процессами природных энергоносителей и углеродных материалов,2025-2026 уч.год,,
ТХ-22-2,HTP-062,Современные представления о нефтяных дисперсных системах,2024-2025 уч.год,,
ТХ-22-2,HTP-069,Теоретические основы химической технологии природных энергоносителей и углеродных материалов,2024-2025 уч.год,,
ТХ-22-2,HTP-080,Технология катализаторов [выбранные дисциплины] 27+15 чел.,2024-2025 уч.год,,
ТХ-22-2,HTP-092,Химическая технология газификации природных энергоносителей,2024-2025 уч.год,,
ТХ-22-2,HTP-096,Химическая технология природных энергоносителей и углеродных материалов,2024-2025 уч.год,,
ТХ-22-2,HTP-099,Химическая технология углей и горючих сланцев,2025-2026 уч.год,,
ТХ-22-2,HTP-100,Химические реакторы,2025-2026 уч.год,,
ТХ-22-2,HTP-109,Химия природных энергоносителей,2023-2024 уч.год,,
ТХ-22-2,HTP-110,"Химмотология топлив, масел и специальных нефтепродуктов",2024-2025 уч.год,,
ТХ-23-1,HTP-039,Подготовка и переработка углеводородных газов,2025-2026 уч.год,,
ТХ-23-1,HTP-052,Процессы и аппараты химической технологии,2025-2026 уч.год,,
ТХ-23-2,HTP-039,Подготовка и переработка углеводородных газов,2025-2026 уч.год,,
ТХ-23-2,HTP-052,Процессы и аппараты химической технологии,2025-2026 уч.год,,
ТХМ-20,HTP-055,Процессы массопереноса с участием твёрдой фазы,2021-2022,,
ТХМ-20,HTP-071,Теплоперенос в гетерогенных системах,2021-2022,,
ТХМ-21,HTP-014,Механика дисперсных сред,2021-2022,,
ТХМ-21,HTP-055,Процессы массопереноса с участием твёрдой фазы,2022-2023,,
ТХМ-21,HTP-066,Теоретические и экспериментальные методы исследования в химии,2021-2022,,
ТХМ-21,HTP-070,Теория тепловой работы печей и аппаратов переработки природных энергоносителей,2021-2022,,
ТХМ-21,HTP-071,Теплоперенос в гетерогенных системах,2022-2023,,
ТХМ-21,HTP-088,Технология природных энергоносителей и углеродных материалов,2021-2022,,
ТХМ-22,HTP-014,Механика дисперсных сред,2022-2023,,
ТХМ-22,HTP-055,Процессы массопереноса с участием твёрдой фазы,2023-2024 уч.год,,
ТХМ-22,HTP-066,Теоретические и экспериментальные методы исследования в химии,2022-2023,,
ТХМ-22,HTP-070,Теория тепловой работы печей и аппаратов переработки природных энергоносителей,2022-2023,,
ТХМ-22,HTP-071,Теплоперенос в гетерогенных системах,2023-2024 уч.год,,
ТХМ-22,HTP-088,Технология природных энергоносителей и углеродных материалов,2022-2023,,
ТХМ-23,HTP-014,Механика дисперсных сред,2023-2024 уч.год,,
ТХМ-23,HTP-055,Процессы массопереноса с участием твёрдой фазы,2024-2025 уч.год,,
ТХМ-23,HTP-066,Теоретические и экспериментальные методы исследования в химии,2023-2024 уч.год,,
ТХМ-23,HTP-070,Теория тепловой работы печей и аппаратов переработки природных энергоносителей,2022-2023,,
ТХМ-23,HTP-071,Теплоперенос в гетерогенных системах,2024-2025 уч.год,,
ТХМ-23,HTP-088,Технология природных энергоносителей и углеродных материалов,2023-2024 уч.год,,
ТХН-18,HTP-016,Моделирование химико-технологических процессов [выбранные дисциплины] 14 чел.,2021-2022,,
ТХН-18,HTP-031,Основы проектирования и оборудование [выбранные дисциплины] 14 чел.,2021-2022,,
ТХН-18,HTP-052,Процессы и аппараты химической технологии,2021-2022,,
ТХН-18,HTP-059,Системы управления химико-технологическими процессами,2021-2022,,
ТХН-18,HTP-074,Термодинамический и энергетический анализ химико-технологических систем [выбранные дисциплины] 14 чел.,2021-2022,,
ТХН-18,HTP-083,Технология минеральных удобрений,2021-2022,,
ТХН-18,HTP-095,Химическая технология неорганических веществ,2021-2022,,
ТХН-18,HTP-101,Химические реакторы [выбранные дисциплины] 14 чел.,2021-2022,,
ТХН-18,HTP-107,Химия и технология комплексной переработки минерального сырья,2021-2022,,
ТХН-19,HTP-018,"Моделирование химико-технологических процессов переработки минерального сырья ""Выбранные дисциплины 15 чел.""",2022-2023 весна,,
ТХН-19,HTP-027,Общая химическая технология,2021-2022,,
ТХН-19,HTP-028,Основы биотехнологии,2022-2023,,
ТХН-19,HTP-029,"Основы биотехнологии ""Выбранные дисциплины 15 чел.""",2022-2023 весна,,
ТХН-19,HTP-033,Основы производства катализаторов [выбранные дисциплины] 16 чел.,2021-2022,,
ТХН-19,HTP-038,Очистка и комплексная переработка отходящих газов [выбранные дисциплины] 16 чел.,2021-2022,,
ТХН-19,HTP-046,"Проектирование процессов и аппаратов химической технологии неорганических веществ ""Выбранные дисциплины 15 чел.""",2022-2023 весна,,
ТХН-19,HTP-047,Проектирование процессов и аппаратов химической технологии неорганических веществ [выбранные дисциплины] 15 чел.,2022-2023,,
ТХН-19,HTP-052,Процессы и аппараты химической технологии,2021-2022|2022-2023,,
ТХН-19,HTP-060,Системы управления химико-технологическими процессами неорганических веществ,2022-2023 весна,,
ТХН-19,HTP-068,Теоретические основы каталитических и гидрокаталитических процессов в нефтепереработке и нефтехимии,2021-2022,,
ТХН-19,HTP-082,Технология каталитических и гидрокаталитических процессов в нефтепереработке и нефтехимии [выбранные дисциплины] 16 чел.,2021-2022,,
ТХН-19,HTP-083,Технология минеральных удобрений,2021-2022|2022-2023,,
ТХН-19,HTP-087,Технология переработки и утилизации сланцев и сланцезольных отходов [выбранные дисциплины] 16 чел.,2021-2022,,
ТХН-19,HTP-089,Технология производства катализаторов [выбранные дисциплины] 16 чел.,2021-2022,,
ТХН-19,HTP-097,Химическая технология производства и применения сорбентов,2022-2023,,
ТХН-19,HTP-098,Химическая технология производства оксидов и гидроксидов алюминия,2021-2022,,
ТХН-19,HTP-102,Химические реакторы [выбранные дисциплины] 15 чел.,2022-2023,,
ТХН-20,HTP-004,"Катализаторы в химической технологии ""Выбранные дисциплины 16 чел.""",2022-2023 весна,,
ТХН-20,HTP-006,Коррозия и защита оборудования в химической технологии неорганических веществ [выбранные дисциплины] 19 чел.,2021-2022,,
ТХН-20,HTP-010,Материалы для оборудования неорганических производств,2021-2022,,
ТХН-20,HTP-012,Методы утилизации отходов предприятий по переработке минерального сырья,2023-2024 уч.год,,
ТХН-20,HTP-019,Моделирование химико-технологических процессов переработки минерального сырья [выбранные дисциплины] 16 чел.,2023-2024 уч.год,,
ТХН-20,HTP-027,Общая химическая технология,2022-2023 весна,,
ТХН-20,HTP-030,Основы биотехнологии [выбранные дисциплины] 16 чел.,2023-2024 уч.год,,
ТХН-20,HTP-032,"Основы производства катализатора ""Выбранные дисциплины 16 чел.""",2022-2023 весна,,
ТХН-20,HTP-038,Очистка и комплексная переработка отходящих газов [выбранные дисциплины] 16 чел.,2022-2023,,
ТХН-20,HTP-048,Проектирование процессов и аппаратов химической технологии неорганических веществ [выбранные дисциплины] 16 чел.,2023-2024 уч.год,,
ТХН-20,HTP-052,Процессы и аппараты химической технологии,2022-2023,,
ТХН-20,HTP-060,Системы управления химико-технологическими процессами неорганических веществ,2023-2024 уч.год,,
ТХН-20,HTP-068,Теоретические основы каталитических и гидрокаталитических процессов в нефтепереработке и нефтехимии,2022-2023,,
ТХН-20,HTP-076,"Технологии производства соды, поташа и щелочей",2021-2022,,
ТХН-20,HTP-081,Технология каталитических и гидрокаталитических процессов в нефтепереработке и нефтехимии,2022-2023|2022-2023 весна,,
ТХН-20,HTP-083,Технология минеральных удобрений,2023-2024 уч.год,,
ТХН-20,HTP-085,Технология переработки и утилизации сланцев и сланцезольных отходов,2022-2023,,
ТХН-20,HTP-086,"Технология переработки и утилизации сланцев и сланцезольных отходов ""Выбранные дисциплины 16 чел.""",2022-2023 весна,,
ТХН-20,HTP-097,Химическая технология производства и применения сорбентов,2023-2024 уч.год,,
ТХН-20,HTP-098,Химическая технология производства оксидов и гидроксидов алюминия,2022-2023,,
ТХН-20,HTP-103,Химические реакторы [выбранные дисциплины] 16 чел.,2023-2024 уч.год,,
ТХН-21,HTP-012,Методы утилизации отходов предприятий по переработке минерального сырья,2024-2025 уч.год,,
ТХН-21,HTP-015,Механические процессы химической технологии,2023-2024 уч.год,,
ТХН-21,HTP-020,Моделирование химико-технологических процессов переработки минерального сырья [выбранные дисциплины] 25 чел.,2024-2025 уч.год,,
ТХН-21,HTP-027,Общая химическая технология,2023-2024 уч.год,,
ТХН-21,HTP-028,Основы биотехнологии,2024-2025 уч.год,,
ТХН-21,HTP-037,Очистка и комплексная переработка отходящих газов,2023-2024 уч.год,,
ТХН-21,HTP-045,Проектирование процессов и аппаратов химической технологии неорганических веществ,2024-2025 уч.год,,
ТХН-21,HTP-052,Процессы и аппараты химической технологии,2023-2024 уч.год,,
ТХН-21,HTP-058,Свойства гетерогенных катализаторов [выбранные дисциплины] 27 чел.,2023-2024 уч.год,,
ТХН-21,HTP-060,Системы управления химико-технологическими процессами неорганических веществ,2024-2025 уч.год,,
ТХН-21,HTP-067,Теоретические основы катализа [выбранные дисциплины] 27 чел.,2023-2024 уч.год,,
ТХН-21,HTP-081,Технология каталитических и гидрокаталитических процессов в нефтепереработке и нефтехимии,2023-2024 уч.год,,
ТХН-21,HTP-083,Технология минеральных удобрений,2023-2024 уч.год,,
ТХН-21,HTP-085,Технология переработки и утилизации сланцев и сланцезольных отходов,2023-2024 уч.год,,
ТХН-21,HTP-097,Химическая технология производства и применения сорбентов,2024-2025 уч.год,,
ТХН-21,HTP-098,Химическая технология производства оксидов и гидроксидов алюминия,2023-2024 уч.год,,
ТХН-21,HTP-100,Химические реакторы,2024-2025 уч.год,,
ТХН-21-1,HTP-005,Коррозия и защита оборудования в химической технологии неорганических веществ,2022-2023 весна,,
ТХН-21-1,HTP-010,Материалы для оборудования неорганических производств,2022-2023 весна,,
ТХН-21-1,HTP-052,Процессы и аппараты химической технологии,2022-2023 весна,,
ТХН-21-1,HTP-076,"Технологии производства соды, поташа и щелочей",2022-2023 весна,,
ТХН-21-2,HTP-005,Коррозия и защита оборудования в химической технологии неорганических веществ,2022-2023 весна,,
ТХН-21-2,HTP-010,Материалы для оборудования неорганических производств,2022-2023 весна,,
ТХН-21-2,HTP-052,Процессы и аппараты химической технологии,2022-2023 весна,,
ТХН-21-2,HTP-076,"Технологии производства соды, поташа и щелочей",2022-2023 весна,,
ТХН-22,HTP-005,Коррозия и защита оборудования в химической технологии неорганических веществ,2023-2024 уч.год,,
ТХН-22,HTP-010,Материалы для оборудования неорганических производств,2023-2024 уч.год,,
ТХН-22,HTP-013,Методы утилизации отходов предприятий по пререработке минерального сырья,2025-2026 уч.год,,
ТХН-22,HTP-015,Механические процессы химической технологии,2024-2025 уч.год,,
ТХН-22,HTP-020,Моделирование химико-технологических процессов переработки минерального сырья [выбранные дисциплины] 25 чел.,2025-2026 уч.год,,
ТХН-22,HTP-027,Общая химическая технология,2024-2025 уч.год,,
ТХН-22,HTP-028,Основы биотехнологии,2025-2026 уч.год,,
ТХН-22,HTP-034,Основы производства катализаторов [выбранные дисциплины] 22 чел.,2024-2025 уч.год,,
ТХН-22,HTP-036,Основы химической технологии смазочных масел и присадок,2025-2026 уч.год,,
ТХН-22,HTP-037,Очистка и комплексная переработка отходящих газов,2024-2025 уч.год,,
ТХН-22,HTP-045,Проектирование процессов и аппаратов химической технологии неорганических веществ,2025-2026 уч.год,,
ТХН-22,HTP-052,Процессы и аппараты химической технологии,2024-2025 уч.год,,
ТХН-22,HTP-057,Свойства гетерогенных катализаторов [выбранные дисциплины] 22 чел.,2024-2025 уч.год,,
ТХН-22,HTP-076,"Технологии производства соды, поташа и щелочей",2023-2024 уч.год,,
ТХН-22,HTP-081,Технология каталитических и гидрокаталитических процессов в нефтепереработке и нефтехимии,2024-2025 уч.год,,
ТХН-22,HTP-083,Технология минеральных удобрений,2024-2025 уч.год,,
ТХН-22,HTP-085,Технология переработки и утилизации сланцев и сланцезольных отходов,2024-2025 уч.год,,
ТХН-22,HTP-097,Химическая технология производства и применения сорбентов,2025-2026 уч.год,,
ТХН-22,HTP-098,Химическая технология производства оксидов и гидроксидов алюминия,2024-2025 уч.год,,
ТХН-23,HTP-052,Процессы и аппараты химической технологии,2025-2026 уч.год,,
ХТНМ-20,HTP-053,Процессы массопереноса в системах с участием твердой фазы,2021-2022,,
ХТНМ-20,HTP-071,Теплоперенос в гетерогенных системах,2021-2022,,
ХТНМ-21,HTP-014,Механика дисперсных сред,2021-2022,,
ХТНМ-21,HTP-042,Проектирование предприятий неорганического синтеза,2021-2022,,
ХТНМ-21,HTP-055,Процессы массопереноса с участием твёрдой фазы,2022-2023,,
ХТНМ-21,HTP-066,Теоретические и экспериментальные методы исследования в химии,2021-2022,,
ХТНМ-21,HTP-071,Теплоперенос в гетерогенных системах,2022-2023,,
ХТНМ-21,HTP-090,Физическая химия неорганических систем,2021-2022,,
ХТНМ-22,HTP-014,Механика дисперсных сред,2022-2023 весна,,
ХТНМ-22,HTP-042,Проектирование предприятий неорганического синтеза,2022-2023,,
ХТНМ-22,HTP-055,Процессы массопереноса с участием твёрдой фазы,2023-2024 уч.год,,
ХТНМ-22,HTP-066,Теоретические и экспериментальные методы исследования в химии,2022-2023,,
ХТНМ-22,HTP-071,Теплоперенос в гетерогенных системах,2023-2024 уч.год,,
ХТНМ-22,HTP-090,Физическая химия неорганических систем,2022-2023|2022-2023 весна,,
ХТНМ-23,HTP-014,Механика дисперсных сред,2023-2024 уч.год,,
ХТНМ-23,HTP-042,Проектирование предприятий неорганического синтеза,2023-2024 уч.год,,
ХТНМ-23,HTP-055,Процессы массопереноса с участием твёрдой фазы,2024-2025 уч.год,,
ХТНМ-23,HTP-065,Современные технологии неорганического синтеза,2023-2024 уч.год,,
ХТНМ-23,HTP-071,Теплоперенос в гетерогенных системах,2024-2025 уч.год,,
ХТОМ-20,HTP-054,Процессы массопереноса в системах с участием твёрдой фазы,2021-2022,,
ХТОМ-20,HTP-071,Теплоперенос в гетерогенных системах,2021-2022,,
ХТОМ-21,HTP-014,Механика дисперсных сред,2021-2022,,
ХТОМ-21,HTP-043,Проектирование предприятий органического синтеза,2021-2022,,
ХТОМ-21,HTP-055,Процессы массопереноса с участием твёрдой фазы,2022-2023,,
ХТОМ-21,HTP-066,Теоретические и экспериментальные методы исследования в химии,2021-2022,,
ХТОМ-21,HTP-071,Теплоперенос в гетерогенных системах,2022-2023,,
ХТОМ-21,HTP-091,Физическая химия органических и нефтехимических систем,2021-2022,,
ХТОМ-22,HTP-014,Механика дисперсных сред,2022-2023 весна,,
ХТОМ-22,HTP-043,Проектирование предприятий органического синтеза,2022-2023,,
ХТОМ-22,HTP-055,Процессы массопереноса с участием твёрдой фазы,2023-2024 уч.год,,
ХТОМ-22,HTP-066,Теоретические и экспериментальные методы исследования в химии,2022-2023,,
ХТОМ-22,HTP-071,Теплоперенос в гетерогенных системах,2023-2024 уч.год,,
ХТОМ-22,HTP-091,Физическая химия органических и нефтехимических систем,2022-2023,,
ХТОМ-23,HTP-014,Механика дисперсных сред,2023-2024 уч.год,,
ХТОМ-23,HTP-055,Процессы массопереноса с участием твёрдой фазы,2024-2025 уч.год,,
ХТОМ-23,HTP-071,Теплоперенос в гетерогенных системах,2024-2025 уч.год,,
ХТОМ-23,HTP-084,Технология органического и нефтехимического синтеза,2023-2024 уч.год,,
