faculty_code,department_code,discipline_code_suggested,discipline_title,training_center_number,source_sheets,check_ok,review_comment
ФПМС,ХТПЭ,HTP-041,Подготовка и переработка углеводородных газов [выбранные дисциплины] 30 чел.,1,2022-2023,,
ФПМС,ХТПЭ,HTP-042,Проектирование предприятий неорганического синтеза,1,2021-2022,,
ФПМС,ХТПЭ,HTP-043,Проектирование предприятий органического синтеза,1,2021-2022,,
ФПМС,ХТПЭ,HTP-044,Проектирование процессов и аппаратов нефтеперерабатывающих предприятий,1,2024-2025 уч.год,,
ФПМС,ХТПЭ,HTP-045,Проектирование процессов и аппаратов химической технологии неорганических веществ,1,2024-2025 уч.год,,
ФПМС,ХТПЭ,HTP-046,"Проектирование процессов и аппаратов химической технологии неорганических веществ ""Выбранные дисциплины 15 чел.""",1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-047,Проектирование процессов и аппаратов химической технологии неорганических веществ [выбранные дисциплины] 15 чел.,1,2022-2023,,
ФПМС,ХТПЭ,HTP-048,Проектирование процессов и аппаратов химической технологии неорганических веществ [выбранные дисциплины] 16 чел.,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-049,"Проектирование процессов и аппаратов химической технологии природных энергоносителей ""Выбранные дисциплины 15 чел.""",1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-050,Проектирование процессов и аппаратов химической технологии природных энергоносителей [выбранные дисциплины] 18+15 чел.,1,2022-2023,,
ФПМС,ХТПЭ,HTP-051,Проектирование процессов и аппаратов химической технологии природных энергоносителей [выбранные дисциплины] 30 чел.,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-052,Процессы и аппараты химической технологии,1,2025-2026 уч.год,,
ФПМС,ХТПЭ,HTP-053,Процессы массопереноса в системах с участием твердой фазы,1,2021-2022,,
ФПМС,ХТПЭ,HTP-054,Процессы массопереноса в системах с участием твёрдой фазы,1,2021-2022,,
ФПМС,ХТПЭ,HTP-055,Процессы массопереноса с участием твёрдой фазы,1,2021-2022,,
ФПМС,ХТПЭ,HTP-056,Процессы тепло- и массопереноса в гетерогенных системах,1,2025-2026 уч.год,,
ФПМС,ХТПЭ,HTP-057,Свойства гетерогенных катализаторов [выбранные дисциплины] 22 чел.,1,2024-2025 уч.год,,
ФПМС,ХТПЭ,HTP-058,Свойства гетерогенных катализаторов [выбранные дисциплины] 27 чел.,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-059,Системы управления химико-технологическими процессами,1,2021-2022,,
ФПМС,ХТПЭ,HTP-060,Системы управления химико-технологическими процессами неорганических веществ,1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-061,Системы управления химико-технологическими процессами природных энергоносителей и углеродных материалов,1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-062,Современные представления о нефтяных дисперсных системах,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-063,Современные представления о нефтяных дисперсных системах [выбранные дисциплины] 18+17 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-064,Современные представления о нефтяных дисперсных системахел.,1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-065,Современные технологии неорганического синтеза,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-066,Теоретические и экспериментальные методы исследования в химии,1,2021-2022,,
ФПМС,ХТПЭ,HTP-067,Теоретические основы катализа [выбранные дисциплины] 27 чел.,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-068,Теоретические основы каталитических и гидрокаталитических процессов в нефтепереработке и нефтехимии,1,2021-2022,,
ФПМС,ХТПЭ,HTP-069,Теоретические основы химической технологии природных энергоносителей и углеродных материалов,1,2021-2022,,
ФПМС,ХТПЭ,HTP-070,Теория тепловой работы печей и аппаратов переработки природных энергоносителей,1,2021-2022,,
ФПМС,ХТПЭ,HTP-071,Теплоперенос в гетерогенных системах,1,2021-2022,,
ФПМС,ХТПЭ,HTP-072,Теплотехнические измерения и приборы [выбранные дисциплины] 22+22 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-073,Теплоэнергетическое оборудование и энергоснабжение химических заводов,1,2021-2022,,
ФПМС,ХТПЭ,HTP-074,Термодинамический и энергетический анализ химико-технологических систем [выбранные дисциплины] 14 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-075,Технологии производства битумов и нефтяного кокса,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-076,"Технологии производства соды, поташа и щелочей",1,2022-2023,,
ФПМС,ХТПЭ,HTP-077,"Технология катализаторов ""Выбранные дисциплины 30 чел.""",1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-078,Технология катализаторов [выбранные дисциплины] 18+17 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-079,Технология катализаторов [выбранные дисциплины] 23+23 чел.,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-080,Технология катализаторов [выбранные дисциплины] 27+15 чел.,1,2024-2025 уч.год,,
ФПМС,ХТПЭ,HTP-081,Технология каталитических и гидрокаталитических процессов в нефтепереработке и нефтехимии,1,2022-2023|2022-2023 весна,,
ФПМС,ХТПЭ,HTP-082,Технология каталитических и гидрокаталитических процессов в нефтепереработке и нефтехимии [выбранные дисциплины] 16 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-083,Технология минеральных удобрений,1,2021-2022,,
ФПМС,ХТПЭ,HTP-084,Технология органического и нефтехимического синтеза,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-085,Технология переработки и утилизации сланцев и сланцезольных отходов,1,2022-2023,,
ФПМС,ХТПЭ,HTP-086,"Технология переработки и утилизации сланцев и сланцезольных отходов ""Выбранные дисциплины 16 чел.""",1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-087,Технология переработки и утилизации сланцев и сланцезольных отходов [выбранные дисциплины] 16 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-088,Технология природных энергоносителей и углеродных материалов,1,2021-2022,,
ФПМС,ХТПЭ,HTP-089,Технология производства катализаторов [выбранные дисциплины] 16 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-090,Физическая химия неорганических систем,1,2021-2022,,
ФПМС,ХТПЭ,HTP-091,Физическая химия органических и нефтехимических систем,1,2021-2022,,
ФПМС,ХТПЭ,HTP-092,Химическая технология газификации природных энергоносителей,1,2022-2023,,
ФПМС,ХТПЭ,HTP-093,"Химическая технология газификации природных энергоносителей ""Выбранные дисциплины 30 чел.""",1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-094,Химическая технология газификации природных энергоносителей [выбранные дисциплины] 18+17 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-095,Химическая технология неорганических веществ,1,2021-2022,,
ФПМС,ХТПЭ,HTP-096,Химическая технология природных энергоносителей и углеродных материалов,1,2021-2022,,
ФПМС,ХТПЭ,HTP-097,Химическая технология производства и применения сорбентов,1,2022-2023,,
ФПМС,ХТПЭ,HTP-098,Химическая технология производства оксидов и гидроксидов алюминия,1,2021-2022,,
ФПМС,ХТПЭ,HTP-099,Химическая технология углей и горючих сланцев,1,2022-2023,,
ФПМС,ХТПЭ,HTP-100,Химические реакторы,1,2024-2025 уч.год,,
ФПМС,ХТПЭ,HTP-101,Химические реакторы [выбранные дисциплины] 14 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-102,Химические реакторы [выбранные дисциплины] 15 чел.,1,2022-2023,,
ФПМС,ХТПЭ,HTP-103,Химические реакторы [выбранные дисциплины] 16 чел.,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-104,Химические реакторы [выбранные дисциплины] 18+15 чел.,1,2022-2023,,
ФПМС,ХТПЭ,HTP-105,Химические реакторы [выбранные дисциплины] 22+22 чел.,1,2021-2022,,
ФПМС,ХТПЭ,HTP-106,Химические реакторы [выбранные дисциплины] 30 чел.,1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-107,Химия и технология комплексной переработки минерального сырья,1,2021-2022,,
ФПМС,ХТПЭ,HTP-108,Химия нефти и газа,1,2024-2025 уч.год,,
ФПМС,ХТПЭ,HTP-109,Химия природных энергоносителей,1,2021-2022,,
ФПМС,ХТПЭ,HTP-110,"Химмотология топлив, масел и специальных нефтепродуктов",1,2023-2024 уч.год,,
ФПМС,ХТПЭ,HTP-111,"Химмотология топлив, масел и специальных нефтепродуктов ""Выбранные дисциплины 30 чел.""",1,2022-2023 весна,,
ФПМС,ХТПЭ,HTP-112,"Химмотология топлив, масел и специальных нефтепродуктов [выбранные дисциплины] 18+17 чел.",1,2021-2022,,
